,phonemes,overlap / correlation
705,"['r', 'ŋ']",-0.1
706,"['r', 'h']",0.05
707,"['r', 'kʷ']",-0.12
708,"['r', 'gʷ']",0.07
709,"['r', 'xʷ']",0.07
710,"['l', 'p']",0.4
711,"['l', 'b']",0.54
712,"['l', 'f']",0.3
713,"['l', 'v']",0.46
714,"['l', 'm']",0.3
715,"['l', 't']",0.54
716,"['l', 'd']",0.68
717,"['l', 'θ']",0.68
718,"['l', 'ð']",0.83
719,"['l', 'n']",0.46
720,"['l', 's']",0.46
721,"['l', 'z']",0.63
722,"['l', 'c']",0.3
723,"['l', 'č']",-0.07
724,"['l', 'ǰ']",0.1
725,"['l', 'š']",0.1
726,"['l', 'ž']",0.27
727,"['l', 'k']",-0.25
728,"['l', 'g']",-0.06
729,"['l', 'x']",-0.06
730,"['l', 'ŋ']",-0.27
731,"['l', 'h']",-0.05
732,"['l', 'kʷ']",-0.25
733,"['l', 'gʷ']",-0.07
734,"['l', 'xʷ']",-0.07
735,"['p', 'b']",0.78
736,"['p', 'f']",0.62
737,"['p', 'v']",0.5
738,"['p', 'm']",0.62
739,"['p', 't']",0.78
740,"['p', 'd']",0.62
741,"['p', 'θ']",0.62
742,"['p', 'ð']",0.5
743,"['p', 'n']",0.5
744,"['p', 's']",0.5
745,"['p', 'z']",0.4
746,"['p', 'c']",0.62
747,"['p', 'č']",0.16
748,"['p', 'ǰ']",0.05
749,"['p', 'š']",0.05
750,"['p', 'ž']",-0.05
751,"['p', 'k']",0.22
752,"['p', 'g']",0.1
753,"['p', 'x']",0.1
754,"['p', 'ŋ']",0.05
755,"['p', 'h']",-0.11
756,"['p', 'kʷ']",0.32
757,"['p', 'gʷ']",0.21
758,"['p', 'xʷ']",0.21
759,"['b', 'f']",0.4
760,"['b', 'v']",0.66
761,"['b', 'm']",0.81
762,"['b', 't']",0.56
763,"['b', 'd']",0.81
764,"['b', 'θ']",0.4
765,"['b', 'ð']",0.66
766,"['b', 'n']",0.66
767,"['b', 's']",0.26
768,"['b', 'z']",0.54
769,"['b', 'c']",0.4
770,"['b', 'č']",-0.02
