,phonemes,overlap / correlation
167,"['ē', 'g']",0.29
168,"['ē', 'x']",0.29
169,"['ē', 'ŋ']",0.21
170,"['ē', 'h']",0.36
171,"['ē', 'kʷ']",0.21
172,"['ē', 'gʷ']",0.21
173,"['ē', 'xʷ']",0.21
174,"['ō', 'ǣ']",0.71
175,"['ō', 'ā']",0.79
176,"['ō', 'œ̄']",0.79
177,"['ō', 'ɔ̄']",0.86
178,"['ō', 'i']",0.64
179,"['ō', 'u']",0.79
180,"['ō', 'e']",0.71
181,"['ō', 'ʌ']",0.79
182,"['ō', 'o']",0.86
183,"['ō', 'æ']",0.64
184,"['ō', 'ɔ']",0.79
185,"['ō', 'y']",0.57
186,"['ō', 'w']",0.71
187,"['ō', 'ɛ']",0.64
188,"['ō', 'r']",0.29
189,"['ō', 'l']",0.21
190,"['ō', 'p']",0.21
191,"['ō', 'b']",0.21
192,"['ō', 'f']",0.21
193,"['ō', 'v']",0.21
194,"['ō', 'm']",0.21
195,"['ō', 't']",0.14
196,"['ō', 'd']",0.14
197,"['ō', 'θ']",0.14
198,"['ō', 'ð']",0.14
199,"['ō', 'n']",0.14
200,"['ō', 's']",0.14
201,"['ō', 'z']",0.14
202,"['ō', 'c']",0.14
203,"['ō', 'č']",0.14
204,"['ō', 'ǰ']",0.14
205,"['ō', 'š']",0.14
206,"['ō', 'ž']",0.14
207,"['ō', 'k']",0.29
208,"['ō', 'g']",0.29
209,"['ō', 'x']",0.29
210,"['ō', 'ŋ']",0.29
211,"['ō', 'h']",0.29
212,"['ō', 'kʷ']",0.36
213,"['ō', 'gʷ']",0.36
214,"['ō', 'xʷ']",0.36
215,"['ǣ', 'ā']",0.86
216,"['ǣ', 'œ̄']",0.86
217,"['ǣ', 'ɔ̄']",0.79
218,"['ǣ', 'i']",0.71
219,"['ǣ', 'u']",0.57
220,"['ǣ', 'e']",0.79
221,"['ǣ', 'ʌ']",0.71
222,"['ǣ', 'o']",0.64
223,"['ǣ', 'æ']",0.86
224,"['ǣ', 'ɔ']",0.71
225,"['ǣ', 'y']",0.64
226,"['ǣ', 'w']",0.5
227,"['ǣ', 'ɛ']",0.71
228,"['ǣ', 'r']",0.29
229,"['ǣ', 'l']",0.21
230,"['ǣ', 'p']",0.21
231,"['ǣ', 'b']",0.21
232,"['ǣ', 'f']",0.21
233,"['ǣ', 'v']",0.21
234,"['ǣ', 'm']",0.21
235,"['ǣ', 't']",0.14
236,"['ǣ', 'd']",0.14
237,"['ǣ', 'θ']",0.14
238,"['ǣ', 'ð']",0.14
239,"['ǣ', 'n']",0.14
240,"['ǣ', 's']",0.14
241,"['ǣ', 'z']",0.14
242,"['ǣ', 'c']",0.14
243,"['ǣ', 'č']",0.14
244,"['ǣ', 'ǰ']",0.14
245,"['ǣ', 'š']",0.14
246,"['ǣ', 'ž']",0.14
247,"['ǣ', 'k']",0.21
248,"['ǣ', 'g']",0.21
249,"['ǣ', 'x']",0.21
250,"['ǣ', 'ŋ']",0.14
251,"['ǣ', 'h']",0.43
252,"['ǣ', 'kʷ']",0.14
253,"['ǣ', 'gʷ']",0.14
254,"['ǣ', 'xʷ']",0.14
255,"['ā', 'œ̄']",0.79
256,"['ā', 'ɔ̄']",0.86
257,"['ā', 'i']",0.64
258,"['ā', 'u']",0.64
259,"['ā', 'e']",0.71
260,"['ā', 'ʌ']",0.79
261,"['ā', 'o']",0.71
262,"['ā', 'æ']",0.79
263,"['ā', 'ɔ']",0.79
264,"['ā', 'y']",0.57
265,"['ā', 'w']",0.57
266,"['ā', 'ɛ']",0.64
267,"['ā', 'r']",0.21
268,"['ā', 'l']",0.14
269,"['ā', 'p']",0.14
270,"['ā', 'b']",0.14
271,"['ā', 'f']",0.14
272,"['ā', 'v']",0.14
273,"['ā', 'm']",0.14
274,"['ā', 't']",0.07
275,"['ā', 'd']",0.07
276,"['ā', 'θ']",0.07
277,"['ā', 'ð']",0.07
278,"['ā', 'n']",0.07
279,"['ā', 's']",0.07
280,"['ā', 'z']",0.07
281,"['ā', 'c']",0.07
282,"['ā', 'č']",0.07
283,"['ā', 'ǰ']",0.07
284,"['ā', 'š']",0.07
285,"['ā', 'ž']",0.07
286,"['ā', 'k']",0.29
287,"['ā', 'g']",0.29
288,"['ā', 'x']",0.29
289,"['ā', 'ŋ']",0.21
290,"['ā', 'h']",0.36
291,"['ā', 'kʷ']",0.21
292,"['ā', 'gʷ']",0.21
293,"['ā', 'xʷ']",0.21
294,"['œ̄', 'ɔ̄']",0.86
295,"['œ̄', 'i']",0.64
296,"['œ̄', 'u']",0.64
297,"['œ̄', 'e']",0.71
298,"['œ̄', 'ʌ']",0.64
299,"['œ̄', 'o']",0.71
300,"['œ̄', 'æ']",0.79
301,"['œ̄', 'ɔ']",0.79
302,"['œ̄', 'y']",0.57
303,"['œ̄', 'w']",0.57
