,phonemes,y,u,e,o,ɛ,œ,ʌ,ɔ,æ,p,b,m,f,v,θ,ð,t,d,s,z,r,l,n,ǰ,š,ž,c,k,g,x,ŋ,q,h,kʷ,gʷ,xʷ
25,š,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,0.66,0.28,0.29,0.15,0.47,0.0,0.11,-0.03,0.15,0.02
26,ž,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.56,0.29,0.45,0.47,0.15,0.11,-0.03,0.15,0.31
27,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.6,0.46,0.42,0.17,0.39,-0.21,0.46,0.35
28,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.39,0.08,0.62,0.09,-0.08,0.08,0.22
29,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.8,0.54,0.8,-0.27,0.83,0.7
30,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.67,0.66,-0.35,0.66,0.85
31,ŋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,0.63,0.06,0.62,0.47
32,q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,-0.18,0.33,0.48
33,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19,0.66,0.55
34,kʷ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.35,-0.42
35,gʷ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85
