,Files,FF.txt,CH68.txt,HS99.txt,json.txt,pho_train_pat_gen.txt
0,FF.txt,,0.81,0.6,0.84,0.56
1,CH68.txt,,,0.67,0.9,0.58
2,HS99.txt,,,,0.61,0.7
3,json.txt,,,,,0.59
4,pho_train_pat_gen.txt,,,,,
